,symbol,correlation,pvalue
733,VDAC1,0.485714286,0.355555556
734,ARHGEF6,1,0.002777778
735,ARMC12,0.942857143,0.016666667
736,ENDOG,0.485714286,0.355555556
737,CATSPER2,1,0.002777778
738,YTHDF2,0.485714286,0.355555556
739,GPI,0.485714286,0.355555556
740,NDUFB5,0.485714286,0.355555556
741,DYNLT2B,0.485714286,0.355555556
742,COX5A,0.485714286,0.355555556
743,GUSBP19,0.942857143,0.016666667
744,CLTC,0.485714286,0.355555556
745,RNF114,1,0.002777778
746,GAS2L3,0.942857143,0.016666667
747,ABRAXAS1,1,0.002777778
748,PTH1R,1,0.002777778
749,NFYC-AS1,1,0.002777778
750,LPAR4,0.942857143,0.016666667
751,FCSK,1,0.002777778
752,ZC2HC1C,1,0.002777778
753,ITGB8,0.942857143,0.016666667
754,RPA3,0.485714286,0.355555556
755,SNX10,0.485714286,0.355555556
756,PRR16,0.485714286,0.355555556
757,SLTM,1,0.002777778
758,SART1,0.942857143,0.016666667
759,ATAD1,0.485714286,0.355555556
760,RORA,1,0.002777778
761,ZNF430,1,0.002777778
762,NOTCH4,1,0.002777778
763,SLC35B1,0.485714286,0.355555556
764,PFKFB4,1,0.002777778
765,EML3,1,0.002777778
766,BDNF,0.485714286,0.355555556
767,TM7SF2,0.485714286,0.355555556
768,CGNL1,1,0.002777778
769,FBXO5,1,0.002777778
770,GPM6A,0.485714286,0.355555556
771,UNC45A,1,0.002777778
772,PHGDH,1,0.002777778
773,MAT2A,1,0.002777778
774,TOB2,1,0.002777778
775,PAK1,0.485714286,0.355555556
776,HPSE2,0.942857143,0.016666667
777,MLKL,1,0.002777778
778,RCAN2,0.485714286,0.355555556
779,CHMP5,0.485714286,0.355555556
780,HSPB2,1,0.002777778
781,SFMBT2,1,0.002777778
782,TMEM106A,1,0.002777778
783,OR7E14P,0.942857143,0.016666667
784,TTC38,1,0.002777778
785,LRRC32,1,0.002777778
786,WBP2,0.485714286,0.355555556
787,FH,0.485714286,0.355555556
788,PIGX,1,0.002777778
789,RBFOX1,0.485714286,0.355555556
790,PNKD,0.485714286,0.355555556
791,ZNF222,0.485714286,0.355555556
792,RTN1,0.485714286,0.355555556
793,MECP2,0.485714286,0.355555556
794,CASZ1,0.942857143,0.016666667
795,SDHB,0.485714286,0.355555556
796,LRP6,0.942857143,0.016666667
797,PODN,1,0.002777778
798,TBX2,1,0.002777778
799,MAGI2-AS3,1,0.002777778
800,F8,0.485714286,0.355555556
801,ASAP3,1,0.002777778
802,NDUFV2,0.485714286,0.355555556
803,PTH2R,0.485714286,0.355555556
804,SPOUT1,1,0.002777778
805,KIAA0513,0.485714286,0.355555556
806,NUPR1,1,0.002777778
807,RMI2,0.485714286,0.355555556
808,UQCRH,0.485714286,0.355555556
809,OGDHL,0.485714286,0.355555556
810,IMP3,0.485714286,0.355555556
811,DEF6,0.942857143,0.016666667
812,KIAA0930,1,0.002777778
813,NEU1,0.485714286,0.355555556
814,DTD1,0.485714286,0.355555556
815,CYTIP,0.942857143,0.016666667
816,FZD9,1,0.002777778
817,CTNS,1,0.002777778
818,CLSTN1,0.485714286,0.355555556
819,STAMBPL1,0.485714286,0.355555556
820,MOAP1,0.485714286,0.355555556
821,MATR3,0.485714286,0.355555556
822,PRNP,0.485714286,0.355555556
823,PARP14,1,0.002777778
824,KMT2E,1,0.002777778
825,DGAT1,1,0.002777778
826,SFSWAP,1,0.002777778
827,SRSF1,1,0.002777778
828,GPSM1,1,0.002777778
829,GALNS,0.942857143,0.016666667
830,KLHL42,0.485714286,0.355555556
831,SMIM17,0.485714286,0.355555556
832,PPEF1,0.485714286,0.355555556
833,PRXL2C,0.942857143,0.016666667
834,GIPC3,0.942857143,0.016666667
835,COX10,0.485714286,0.355555556
836,SYP,0.485714286,0.355555556
837,LRRC37BP1,1,0.002777778
838,LRRC1,1,0.002777778
839,ESRRA,1,0.002777778
840,RABGAP1L,0.942857143,0.016666667
841,OPA1,0.485714286,0.355555556
842,ARHGAP32,0.485714286,0.355555556
843,WASL,0.485714286,0.355555556
844,ARF4,0.485714286,0.355555556
845,ATP2A2,0.485714286,0.355555556
846,ACTB,0.485714286,0.355555556
847,TTC7B,0.485714286,0.355555556
848,SCG2,0.485714286,0.355555556
