,symbol,correlation,pvalue
896,HMGXB3,0.485714286,0.355555556
897,MORC2,0.485714286,0.355555556
898,STARD8,0.485714286,0.355555556
899,CBX2,0.257142857,0.658333333
900,MPST,0.257142857,0.658333333
901,CTDSP1,0.485714286,0.355555556
902,R3HDM1,1,0.002777778
903,UXT,0.485714286,0.355555556
904,PPP3CB,1,0.002777778
905,NEK6,0.485714286,0.355555556
906,OLFM3,1,0.002777778
907,SYT1,1,0.002777778
908,WDR45,0.485714286,0.355555556
909,SSBP4,0.485714286,0.355555556
910,LRRC49,1,0.002777778
911,KLF15,0.485714286,0.355555556
912,SEMA6A,0.485714286,0.355555556
913,CD83,1,0.002777778
914,MIF4GD,0.485714286,0.355555556
915,SLC39A1,0.485714286,0.355555556
916,PRPF38A,0.485714286,0.355555556
917,TMX3,1,0.002777778
918,MTHFD1,1,0.002777778
919,C16orf91,1,0.002777778
920,PAIP1,1,0.002777778
921,MZT1,1,0.002777778
922,PCDH20,1,0.002777778
923,COPS4,1,0.002777778
924,SYNGR2,0.485714286,0.355555556
925,PTDSS1,1,0.002777778
926,SLC4A11,0.485714286,0.355555556
927,COBL,0.485714286,0.355555556
928,TIMELESS,0.257142857,0.658333333
929,ZC3H12C,0.485714286,0.355555556
930,CRMP1,1,0.002777778
931,IER2,0.257142857,0.658333333
932,ATP2B3,1,0.002777778
933,SYAP1,0.485714286,0.355555556
934,CWC25,0.485714286,0.355555556
935,PAN2,0.485714286,0.355555556
936,HLA-DMA,0.485714286,0.355555556
937,IFNLR1,0.257142857,0.658333333
938,CNN3-DT,0.485714286,0.355555556
939,CAP2,1,0.002777778
940,DCLRE1C,0.485714286,0.355555556
941,BRPF1,0.485714286,0.355555556
942,KLHL35,1,0.002777778
943,GNA12,0.485714286,0.355555556
944,C4orf3,0.485714286,0.355555556
945,MYBPC1,0.485714286,0.355555556
946,PPP2R1B,0.257142857,0.658333333
947,LRCH4,0.485714286,0.355555556
948,NUDT1,0.485714286,0.355555556
949,UBA7,0.485714286,0.355555556
950,SLC6A17,1,0.002777778
951,RASSF4,0.485714286,0.355555556
952,MBTPS2,1,0.002777778
953,MTTP,0.257142857,0.658333333
954,ARID4B,0.485714286,0.355555556
955,TAGLN3,1,0.002777778
956,NUBPL,0.485714286,0.355555556
957,HYDIN,0.485714286,0.355555556
958,BASP1,1,0.002777778
959,GBGT1,0.257142857,0.658333333
960,BCRP2,0.485714286,0.355555556
961,DBI,0.485714286,0.355555556
962,CHST1,1,0.002777778
963,NFATC1,0.257142857,0.658333333
964,CDK6,0.485714286,0.355555556
965,TJAP1,0.485714286,0.355555556
966,NSF,1,0.002777778
967,MKRN1,0.485714286,0.355555556
968,MCU,1,0.002777778
969,RIMBP2,1,0.002777778
970,ABI3BP,0.257142857,0.658333333
971,TIGD5,0.485714286,0.355555556
972,ZNF326,0.485714286,0.355555556
973,GLI1,0.257142857,0.658333333
974,WSCD1,0.485714286,0.355555556
975,EEF2K,0.485714286,0.355555556
976,ZNF22,0.485714286,0.355555556
977,THOC2,0.485714286,0.355555556
978,MSRB3,0.485714286,0.355555556
979,SMARCC1,0.485714286,0.355555556
980,TK2,0.485714286,0.355555556
981,WWOX,0.485714286,0.355555556
982,CRACDL,1,0.002777778
983,ZNHIT6,0.485714286,0.355555556
984,ZRSR2,0.485714286,0.355555556
985,OTOS,0.257142857,0.658333333
986,ALPP,0.485714286,0.355555556
987,TSPYL1,1,0.002777778
988,TRIM9,1,0.002777778
989,PLPPR5,1,0.002777778
990,ZCCHC12,1,0.002777778
991,COPG1,1,0.002777778
992,HDGFL2,1,0.002777778
993,ABL1,0.485714286,0.355555556
994,B3GLCT,0.485714286,0.355555556
995,MFAP3L,0.485714286,0.355555556
996,SRP68,1,0.002777778
997,CCT6P1,1,0.002777778
998,YWHAE,1,0.002777778
999,C22orf46,0.485714286,0.355555556
1000,ZXDC,0.257142857,0.658333333
